name;nickname;team
Sergey Bezhanov;lmbt;mousesports
Jimmy Berndtsson;Jumpy;Fnatic
Danny Sørensen;zonic;Astralis
Soham Chowdhury;valens;Cloud9
Mykhail Blagin;kane;Natus Vincere
Damien Marcel;maLeK;Team EnVyUs
Andrey Prokhorov;Andi;Gambit Esports
Luis Tadeu;peacemaker;Heroic
Alexander Szymanczyk;kakafu;BIG
Jared Hartman;osorandom;Rise Nation
Robert Dahlström;RobbaN;FaZe Clan
Edouard Dubourdeaux;SmithZz;G2 Esports
Niko Kovanen;naSu;GODSENT
Faruk Pita;pita;Ninjas in Pyjamas
Jakub Gurczynski;kuben;Virtus.pro
Steve Rattacasa;Ryu;Counter Logic Gaming
Tomi Kovanen;lurppis;Immortals
Wilton Prado;zews;Team Liquid
Chet Singh;ImAPet;OpTic Gaming
Aleksandar Trifunović;kassad;Renegades
Alessandro Marcucci;Apoka;Luminosity Gaming
Michael Jaber;MAiNLiNE;Ghost Gaming
James Macaulay;JamezIRL;Torqued
Artem Ivanov;Fierce;Vega Squadron
Steeve Flavigni;Ozstrik3r;Team LDLC.com
Ronald Kim;Rambo;compLexity Gaming
Alexander Holdt;ave;North
Ivan Shevstov;Johnta;HellRaisers
Pyeon Seon-ho;termi;MVP PK
