name;nickname;team
Chris de Jong;chrisJ;mousesports
Tomáš Šťastný;oskar;mousesports
Robin Kool;ropz;mousesports
Miikka Kemppi;suNny;mousesports
Martin Styk;STYKO;mousesports
Freddy Johansson;KRIMZ;Fnatic
Jesper Wecksell;JW;Fnatic
Robin Rönnquist;flusha;Fnatic
Maikil Selim;Golden;Fnatic
Jonas Olofsson;Lekr0;Fnatic
Nicolai Reedtz;dev1ce;Astralis
Peter Rothmann;dupreeh;Astralis
Andreas Højsleth;Xyp9x;Astralis
Lukas Rossander;gla1ve;Astralis
Emil Reif;Magisk;Astralis
Tyler Latham;Skadoodle;Cloud9
Jacky Yip;Stewie2K;Cloud9
Timothy Ta;autimatic;Cloud9
Will Wierzba;RUSH;Cloud9
Tarik Celik;tarik;Cloud9
Ioann Sukhariev;Edward;Natus Vincere
Egor Vasilyev;flamie;Natus Vincere
Oleksandr Kostyliev;s1mple;Natus Vincere
Daniil Teslenko;Zeus;Natus Vincere
Denis Sharipov;electronic;Natus Vincere
Vincent Cervoni;Happy;Team EnVyUs
Cédric Guipouy;RpK;Team EnVyUs
Adil Benrlitom;ScreaM;Team EnVyUs
Fabien Fiey;kioShiMa;Team EnVyUs
Ali Haïnouss;hAdji;Team EnVyUs
Mikhail Stolyarov;Dosia;Gambit Esports
Dauren Kystaubayev;AdreN;Gambit Esports
Rustem Telepov;mou;Gambit Esports
Abay Khassenov;Hobbit;Gambit Esports
Denis Kostin;seized;Gambit Esports
Andreas Fridh;MODDII;Heroic
Marco Pfeiffer;Snappi;Heroic
Nikolaj Kristensen;niko;Heroic
Jakob Hansen;JUGi;Heroic
Ruben Villaroel;RUBINO;Heroic
Fatih Dayik;gob b;BIG
Johannes Wodarz;tabseN;BIG
Johannes Maget;nex;BIG
Tizian Felbusch;tiziaN;BIG
Niels Jasiek;luckeRRR;BIG
Brandon Winn;-Ace;Rise Nation
Kaleb Jayne;moose;Rise Nation
Will Loafman;dazzLe;Rise Nation
Skyler Weaver;Relyks;Rise Nation
Michael Gulino;dapr;Rise Nation
Frederik Gyldstrand;acoR;North Academy
Dennis Nielsen;sycrone;North Academy
Johannes Borup;b0RUP;North Academy
Håvard Nygaard;rain;FaZe Clan
Finn Andersen;karrigan;FaZe Clan
Nikola Kovač;NiKo;FaZe Clan
Ladislav Kovács;GuardiaN;FaZe Clan
Olof Kajbjer;olofmeister;FaZe Clan
Richard Papillon;shox;G2 Esports
Alexandre Pianaro;bodyy;G2 Esports
Nathan Schmitt;NBK-;G2 Esports
Kenny Schrub;kennyS;G2 Esports
Dan Madesclaire;apEX;G2 Esports
Simon Eliasson;twist;GODSENT
Joakim Gidetun;disco doplan;GODSENT
Fredrik Buö;freddieb;GODSENT
Hampus Poser;hampus;GODSENT
Ludvig Brolin;Brollan;GODSENT
Patrik Lindberg;f0rest;Ninjas in Pyjamas
Christopher Alesund;GeT_RiGhT;Ninjas in Pyjamas
William Sundin;draken;Ninjas in Pyjamas
Fredrik Sterner;REZ;Ninjas in Pyjamas
Dennis Edman;dennis;Ninjas in Pyjamas
Filip Kubski;NEO;Virtus.pro
Jarosław Jarząbkowski;pashaBiceps;Virtus.pro
Janusz Pogorzelski;Snax;Virtus.pro
Paweł Bieliński;byali;Virtus.pro
Kenneth Suen;koosta;Counter Logic Gaming
Ricky Mulholland;Rickeh;Counter Logic Gaming
João Horvath;horvy;Immortals
Ricardo Prass;boltz;Immortals
Nicholas Cannella;nitr0;Team Liquid
Jonathan Jablonowski;EliGE;Team Liquid
Russel Van Dulken;Twistzz;Team Liquid
Lucas Lopes;steel;Team Liquid
Keith Markovic;NAF;Team Liquid
Jacob Medina;FugLy;NRG Esports
Damian Steele;daps;NRG Esports
Vincent Cayonte;Brehze;NRG Esports
Cvetelin Dimitrov;CeRq;NRG Esports
Ethan Arnold;nahtE;NRG Esports
Peter Jarguz;stanislaw;OpTic Gaming
Shahzeeb Khan;ShahZaM;OpTic Gaming
Kristian Wienecke;k0nfig;OpTic Gaming
René Borg;cajunb;OpTic Gaming
Gabriel Toledo;FalleN;SK Gaming
Fernando Alvarenga;fer;SK Gaming
Marcelo David;coldzera;SK Gaming
Epitácio de Melo;TACO;SK Gaming
Aaron Ward;AZR;Renegades
Justin Savage;jks;Renegades
Karlo Pivac;USTILO;Renegades
Noah Francis;Nifty;Renegades
Joakim Myrbostad;jkaem;Renegades
Vinicios Coelho;PKL;Luminosity Gaming
Gustavo Knittel;yeL;Luminosity Gaming
Gustavo Gonçalves;SHOOWTiME;Luminosity Gaming
Marcelo Cespedes;chelo;Luminosity Gaming
Gabriel Schenato;NEKIZ;Luminosity Gaming
Sebastian Bucki;seb;Ghost Gaming
Connor Glover;CoNnOrRr93;Ghost Gaming
Matthew Yu;Wardell;Ghost Gaming
Yassine Taoufik;Subroza;Ghost Gaming
Tramaine Stanley;stan1ey;Ghost Gaming
Keven Larivière;AZK;Torqued
Braxton Pierce;swag;Torqued
Matt Wilson;Pollo;Torqued
Joshua Nissan;steel;Torqued
Kenneth Suen;koosta;Torqued
Dmitriy Chervak;jR;Vega Squadron
Nikolay Bityukov;mir;Vega Squadron
Leonid Vishnyakov;chopper;Vega Squadron
Pavel Lashkov;hutji;Vega Squadron
Sergey Nikishin;keshandr;Vega Squadron
