name;country
mousesports;DE
Fnatic;GB
Astralis;DK
Cloud9;US
Natus Vincere;UA
Team EnVyUs;US
Gambit Esports;UK
Heroic;DK
BIG;DE
Rise Nation;US
North Academy;DK
FaZe Clan;US
G2 Esports;ES
GODSENT;SE
Ninjas in Pyjamas;SE
Virtus.pro;RU
Counter Logic Gaming;US
Immortals;US
Team Liquid;NL
NRG Esports;US
OpTic Gaming;US
SK Gaming;DE
Renegades;US
Luminosity Gaming;CA
Ghost Gaming;US
Torqued;US
Vega Squadron;RU
Tempo Storm;US
Team LDLC.com;FR
compLexity Gaming;US
North;DK
HellRaisers;UA
TyLoo;CN
MVP PK;KR
