name;date;prize;winner
cs_summit 1;20-04-2017;63750;SK Gaming
DreamHack Open Denver 2017;20-10-2017;50000;Cloud9
cs_summit 2;08-02-2018;63750;Team Liquid
DreamHack Open Winter 2017;01-12-2017;50000;Natus Vincere
Esports Championship Series Season 4 - Europe;06-10-2017;0;Fnatic
Esports Championship Series Season 4 - North America;06-10-2017;0;Cloud9
Esports Championship Series Season 4 - Finals;15-12-2017;250000;FaZe Clan
Norther Arena 2016 - Montreal;10-11-2016;50000;OpTic Gaming
ESL Pro League Season 6 - Finals;05-12-2017;225000;SK Gaming
StarLadder & i-League StarSeries Season 4;17-02-2018;130000;mousesports
cs_summit 3;11-10-2018;;
